repeat	epoch	val_loss_min_index_AUC_test	val_loss_min_index_PR_test
0.0	19.0	0.630494578862719	0.6441198271969404
0.0	40.0	0.6385884668049653	0.6596726694551269
0.0	31.0	0.6310339052656821	0.6475052094376802
0.0	26.0	0.6289193666524981	0.6488031487157897
0.0	26.0	0.6194105026784467	0.6505548614295429
1.0	31.0	0.6188223397246029	0.6252191738732926
1.0	39.0	0.630402765213286	0.647868820870559
1.0	27.0	0.6240980178523272	0.6463840340007079
1.0	29.0	0.6271522632146291	0.6456104626073574
1.0	39.0	0.6273617794881257	0.6408954941752574
2.0	31.0	0.6340002121541942	0.6474752188638191
2.0	25.0	0.629104371272828	0.6530465718287629
2.0	25.0	0.6286800862287276	0.6508459177485857
2.0	27.0	0.6310382940188204	0.6567610087130347
2.0	29.0	0.6332501088784289	0.6558986644687341
3.0	34.0	0.636318827788315	0.648532539624256
3.0	25.0	0.6308553670529018	0.6511434523617243
3.0	41.0	0.6291789567317496	0.645585568311787
3.0	28.0	0.6378812239055944	0.6629950993442708
3.0	33.0	0.6301918482738941	0.6532603259606593
4.0	39.0	0.6294549346019755	0.6470083462420293
4.0	24.0	0.6222325643241806	0.6480303963896235
4.0	39.0	0.6205777476022467	0.6377761816286112
4.0	30.0	0.6306222495590704	0.6555236035113701
4.0	30.0	0.6229877099971688	0.6500188391033564
mean	30.0	0.6289063395258951	0.6488214174345152
