repeat	epoch	val_loss_min_index_AUC_test	val_loss_min_index_PR_test
0	104	0.6249084197948828	0.6397116218836414
0	001	0.5760531700244053	0.5648003226764327
0	102	0.6366281648512792	0.6491011592008361
0	001	0.5776619515272488	0.5614276439199557
0	102	0.6450794326966964	0.6592510895054107
1	110	0.6333514470559497	0.6423482435862389
1	001	0.5806556180895814	0.5678244021266837
1	102	0.6362796558321113	0.6519994444224673
1	001	0.578752183171242	0.5634722287605642
1	001	0.5816463090772861	0.5644157909461446
2	001	0.5771645750678482	0.5644281184295015
2	001	0.581419844746457	0.5687502428295658
2	103	0.6371097838193581	0.6504143951644916
2	105	0.6308580516625344	0.6375324459143279
2	001	0.5790221615225499	0.5734685856450997
3	001	0.5735451610168163	0.5602839918396973
3	001	0.5804943781006073	0.5668067113190671
3	104	0.627505861319883	0.6393731190378078
3	104	0.6355606706836521	0.6499700748164556
3	102	0.6343827106657534	0.6468616297397085
4	102	0.6352937271084503	0.6443807401879085
4	001	0.5682512975768854	0.5557733718578203
4	001	0.5712981194099425	0.5602824147753609
4	001	0.5735412158078779	0.5625200950485083
4	104	0.6415103025513037	0.6533004729901001
mean	4160044080044084593345001930317344731765106222879251149180950067994951680	0.6047189685272241	0.6039399342649518
