repeat	epoch	val_loss_min_index_AUC_test	val_loss_min_index_PR_test
0	033	0.6003796785042232	0.5903348320665481
0	040	0.6120986298499458	0.6033409510090373
0	028	0.5995455119303118	0.5830076998155489
0	037	0.6078713968336734	0.601237911010339
0	028	0.6063967524347308	0.594374101995732
1	029	0.603978969655227	0.5899421231094526
1	042	0.6034035761054615	0.593132793342142
1	044	0.6113228476994343	0.6007655398242832
1	032	0.6032728706330039	0.592395810393908
1	035	0.6104832652173946	0.6040344145988147
2	028	0.6111618411547761	0.5958228581755202
2	037	0.6081375000093378	0.5955200122897126
2	042	0.6090642039100616	0.5921209356669906
2	036	0.5994325949147238	0.5887983209927925
2	039	0.6085298732154583	0.6062579181221682
3	034	0.5989928558569124	0.5792332742461085
3	053	0.6059308676135418	0.5952528067366104
3	032	0.6013577868433024	0.5857663153540655
3	038	0.6007830469376215	0.5925042437255634
3	039	0.6105491432033341	0.6048703557171209
4	037	0.6025345329507585	0.5927819241612311
4	033	0.6039583098332723	0.5921252905256965
4	039	0.5983177582398373	0.5885822394320689
4	036	0.5946855747847271	0.5870078974262994
4	034	0.6050349083292185	0.5969123828739463
mean	1321601121481121175962021140192886111295386354786027980746264831674286080	0.6046889718664116	0.593844918104468
