repeat	epoch	val_loss_min_index_AUC_test	val_loss_min_index_PR_test
0.0	164.0	0.6432906189374511	0.6650585960135766
0.0	283.0	0.6370633750893625	0.6655035189364635
0.0	207.0	0.6333246943373505	0.6598107567820939
0.0	280.0	0.6331119098434317	0.6626358166954764
0.0	275.0	0.6407235485179461	0.661894761821731
1.0	322.0	0.6390578999797557	0.6686763170093643
1.0	202.0	0.6339672731612245	0.6625275591251372
1.0	183.0	0.6363147425127872	0.6618074016793289
1.0	184.0	0.6262264930911687	0.6549188147797874
1.0	176.0	0.6363727300808502	0.6625555168524382
2.0	249.0	0.6364599682216922	0.6614961916979779
2.0	221.0	0.6259690973884864	0.6521643500129262
2.0	225.0	0.6411951527248742	0.6649960290954183
2.0	282.0	0.6358366718983094	0.6663567023381175
2.0	175.0	0.6351622279253187	0.6608735104115956
3.0	197.0	0.635237793850367	0.6636968428895771
3.0	210.0	0.6187707018419317	0.6447723080271013
3.0	205.0	0.6420069319888934	0.6662115192434463
3.0	315.0	0.6332822074718616	0.6647713293744927
3.0	194.0	0.6323351472267935	0.658451967168789
4.0	156.0	0.6416689046195082	0.6709609323026269
4.0	200.0	0.6273501773056267	0.6588796957453039
4.0	174.0	0.6358459629820812	0.6681135635927921
4.0	266.0	0.6409909356373478	0.6678447644640826
4.0	210.0	0.6454481346491874	0.677382169425224
mean	222.0	0.6354805320513444	0.6628944374193948
