Fold	Value	Type	Metric
repeat4_fold3	0.7490638172728165	Clustered	AUROC
repeat4_fold4	0.7643133026173905	Clustered	AUROC
repeat0_fold0	0.6441197664204936	Original	AUPR
repeat0_fold1	0.6596727279773527	Original	AUPR
repeat0_fold2	0.6475052312684786	Original	AUPR
repeat0_fold3	0.6488030762469809	Original	AUPR
repeat0_fold4	0.6505549821693624	Original	AUPR
repeat1_fold0	0.6252191007237453	Original	AUPR
repeat1_fold1	0.6478688971539648	Original	AUPR
repeat1_fold2	0.6463840339552842	Original	AUPR
repeat1_fold3	0.6456105742022279	Original	AUPR
repeat1_fold4	0.6408954351678354	Original	AUPR
repeat2_fold0	0.6474753462726146	Original	AUPR
repeat2_fold1	0.6530466748893196	Original	AUPR
repeat2_fold2	0.6508460893148756	Original	AUPR
repeat2_fold3	0.656761043158762	Original	AUPR
repeat2_fold4	0.6558986457908083	Original	AUPR
repeat3_fold0	0.6485325269000931	Original	AUPR
repeat3_fold1	0.6511434523617243	Original	AUPR
repeat3_fold2	0.6455854909378171	Original	AUPR
repeat3_fold3	0.662995263351178	Original	AUPR
repeat3_fold4	0.6532603414494171	Original	AUPR
repeat4_fold0	0.6470082031057922	Original	AUPR
repeat4_fold1	0.6480309282309831	Original	AUPR
repeat4_fold2	0.6377776679654235	Original	AUPR
repeat4_fold3	0.655523539907199	Original	AUPR
repeat4_fold4	0.6500188015577699	Original	AUPR
repeat0_fold0	0.6335647997730223	Trainset-only	AUPR
repeat0_fold1	0.6429547258321433	Trainset-only	AUPR
repeat0_fold2	0.6295502193177812	Trainset-only	AUPR
repeat0_fold3	0.6273735414642019	Trainset-only	AUPR
repeat0_fold4	0.6362207155121269	Trainset-only	AUPR
repeat1_fold0	0.6260595640249482	Trainset-only	AUPR
repeat1_fold1	0.6354505047532967	Trainset-only	AUPR
repeat1_fold2	0.6376818064777231	Trainset-only	AUPR
repeat1_fold3	0.6334841532041786	Trainset-only	AUPR
repeat1_fold4	0.6303799667723011	Trainset-only	AUPR
repeat2_fold0	0.6287359897549007	Trainset-only	AUPR
repeat2_fold1	0.6309760202594408	Trainset-only	AUPR
repeat2_fold2	0.6438699371107648	Trainset-only	AUPR
repeat2_fold3	0.6377293818278535	Trainset-only	AUPR
repeat2_fold4	0.6270282684162497	Trainset-only	AUPR
repeat3_fold0	0.6346065171352067	Trainset-only	AUPR
repeat3_fold1	0.6317511605688807	Trainset-only	AUPR
repeat3_fold2	0.6396816920115791	Trainset-only	AUPR
repeat3_fold3	0.6239440788413724	Trainset-only	AUPR
repeat3_fold4	0.6317337317018232	Trainset-only	AUPR
repeat4_fold0	0.6289247090827748	Trainset-only	AUPR
repeat4_fold1	0.6337428188197074	Trainset-only	AUPR
repeat4_fold2	0.6432618490587697	Trainset-only	AUPR
