Fold	Value	Type	Metric
repeat4_fold4	0.7939382849176007	Clustered	AUROC
repeat0_fold0	0.6397116218836414	Original	AUPR
repeat0_fold1	0.5648003226764327	Original	AUPR
repeat0_fold2	0.6491011592008361	Original	AUPR
repeat0_fold3	0.5614276439199557	Original	AUPR
repeat0_fold4	0.6592510895054107	Original	AUPR
repeat1_fold0	0.6423482435862389	Original	AUPR
repeat1_fold1	0.5678244021266837	Original	AUPR
repeat1_fold2	0.6519994444224673	Original	AUPR
repeat1_fold3	0.5634722287605642	Original	AUPR
repeat1_fold4	0.5644157909461446	Original	AUPR
repeat2_fold0	0.5644281184295015	Original	AUPR
repeat2_fold1	0.5687502428295658	Original	AUPR
repeat2_fold2	0.6504143951644916	Original	AUPR
repeat2_fold3	0.6375324459143279	Original	AUPR
repeat2_fold4	0.5734685856450997	Original	AUPR
repeat3_fold0	0.5602839918396973	Original	AUPR
repeat3_fold1	0.5668067113190671	Original	AUPR
repeat3_fold2	0.6393731190378078	Original	AUPR
repeat3_fold3	0.6499700748164556	Original	AUPR
repeat3_fold4	0.6468616297397085	Original	AUPR
repeat4_fold0	0.6443807401879085	Original	AUPR
repeat4_fold1	0.5557733718578203	Original	AUPR
repeat4_fold2	0.5602824147753609	Original	AUPR
repeat4_fold3	0.5625200950485083	Original	AUPR
repeat4_fold4	0.6533004729901001	Original	AUPR
repeat0_fold0	0.6310642198353366	Trainset-only	AUPR
repeat0_fold1	0.5491265342066654	Trainset-only	AUPR
repeat0_fold2	0.6340809685725374	Trainset-only	AUPR
repeat0_fold3	0.54405053143868	Trainset-only	AUPR
repeat0_fold4	0.6236907102163805	Trainset-only	AUPR
repeat1_fold0	0.6255285151372186	Trainset-only	AUPR
repeat1_fold1	0.6378276417284638	Trainset-only	AUPR
repeat1_fold2	0.6253591753873781	Trainset-only	AUPR
repeat1_fold3	0.5392108267152551	Trainset-only	AUPR
repeat1_fold4	0.6260448348822611	Trainset-only	AUPR
repeat2_fold0	0.6348988432822831	Trainset-only	AUPR
repeat2_fold1	0.629306211068483	Trainset-only	AUPR
repeat2_fold2	0.6326171914619885	Trainset-only	AUPR
repeat2_fold3	0.63390328660287	Trainset-only	AUPR
repeat2_fold4	0.536621105937003	Trainset-only	AUPR
repeat3_fold0	0.6314525406572827	Trainset-only	AUPR
repeat3_fold1	0.6401046779035547	Trainset-only	AUPR
repeat3_fold2	0.5413787245144256	Trainset-only	AUPR
repeat3_fold3	0.634091353181427	Trainset-only	AUPR
repeat3_fold4	0.6312854439889882	Trainset-only	AUPR
repeat4_fold0	0.6256366139686307	Trainset-only	AUPR
repeat4_fold1	0.6354785690131239	Trainset-only	AUPR
repeat4_fold2	0.6376777964196576	Trainset-only	AUPR
repeat4_fold3	0.5465847207440855	Trainset-only	AUPR
repeat4_fold4	0.6336576873655164	Trainset-only	AUPR
repeat0_fold0	0.7729139492943417	Testset-only	AUPR
repeat0_fold1	0.6185430034962284	Testset-only	AUPR
repeat0_fold2	0.7944419655003259	Testset-only	AUPR
repeat0_fold3	0.6142886886805313	Testset-only	AUPR
repeat0_fold4	0.7718121978786018	Testset-only	AUPR
repeat1_fold0	0.7722071548357952	Testset-only	AUPR
repeat1_fold1	0.6381044610917475	Testset-only	AUPR
repeat1_fold2	0.7742587261808592	Testset-only	AUPR
repeat1_fold3	0.6214328338427628	Testset-only	AUPR
repeat1_fold4	0.6189506350063105	Testset-only	AUPR
repeat2_fold0	0.6021454449062688	Testset-only	AUPR
repeat2_fold1	0.6335966120255729	Testset-only	AUPR
repeat2_fold2	0.769904515019169	Testset-only	AUPR
repeat2_fold3	0.7554431485747163	Testset-only	AUPR
repeat2_fold4	0.6410591523234763	Testset-only	AUPR
repeat3_fold0	0.6038837313329908	Testset-only	AUPR
repeat3_fold1	0.6288696067210031	Testset-only	AUPR
repeat3_fold2	0.779554600762069	Testset-only	AUPR
repeat3_fold3	0.7494658371716187	Testset-only	AUPR
repeat3_fold4	0.7779626945009783	Testset-only	AUPR
repeat4_fold0	0.7685539453590382	Testset-only	AUPR
repeat4_fold1	0.5918486741721796	Testset-only	AUPR
repeat4_fold2	0.6099467781115611	Testset-only	AUPR
repeat4_fold3	0.6199330921929946	Testset-only	AUPR
repeat4_fold4	0.7822607554688334	Testset-only	AUPR
repeat0_fold0	0.78104955452627	Clustered	AUPR
repeat0_fold1	0.6118339073196963	Clustered	AUPR
repeat0_fold2	0.7727374913747604	Clustered	AUPR
repeat0_fold3	0.6021547899428661	Clustered	AUPR
repeat0_fold4	0.7894941164846448	Clustered	AUPR
repeat1_fold0	0.7804794179637531	Clustered	AUPR
repeat1_fold1	0.7996633155874424	Clustered	AUPR
repeat1_fold2	0.7820042764621987	Clustered	AUPR
repeat1_fold3	0.5920478868433221	Clustered	AUPR
repeat1_fold4	0.7895103725490441	Clustered	AUPR
repeat2_fold0	0.7914155590745977	Clustered	AUPR
repeat2_fold1	0.7924324711987158	Clustered	AUPR
repeat2_fold2	0.7716325723846837	Clustered	AUPR
repeat2_fold3	0.7771546788065772	Clustered	AUPR
repeat2_fold4	0.5926395512183755	Clustered	AUPR
repeat3_fold0	0.7860826381493338	Clustered	AUPR
repeat3_fold1	0.804394320355061	Clustered	AUPR
repeat3_fold2	0.5909952295547913	Clustered	AUPR
repeat3_fold3	0.7875115831243522	Clustered	AUPR
repeat3_fold4	0.7947326363552536	Clustered	AUPR
repeat4_fold0	0.7708503061324938	Clustered	AUPR
repeat4_fold1	0.805371624884837	Clustered	AUPR
repeat4_fold2	0.7959265993305628	Clustered	AUPR
repeat4_fold3	0.6046007788596578	Clustered	AUPR
repeat4_fold4	0.7966204924600622	Clustered	AUPR
repeat0_fold0	0.6038	Original	PPV
repeat0_fold1	0.5748	Original	PPV
repeat0_fold2	0.6134	Original	PPV
repeat0_fold3	0.5713	Original	PPV
