epoch	loss	acc	auc_roc	auc_pr	f1_score
1.0	0.7123866551800778	0.5350534539473685	0.579301449481696	0.5751722013254832	0.4514626502733277
2.0	0.6721557117345041	0.5818256578947368	0.6255631111767114	0.622652793632206	0.5526395515432199
3.0	0.6567195099696779	0.6089980811403509	0.6625013136541292	0.6644778168789452	0.5769763895148136
4.0	0.6361658865945381	0.6326069078947368	0.6931330191578565	0.6987859301072563	0.6151666330767482
5.0	0.6215319037437439	0.6499109100877193	0.7126522617542854	0.7253987144401064	0.6314290653105065
6.0	0.614123378929339	0.6567297149122807	0.7228199475767798	0.7392670462999233	0.6309227361736106
7.0	0.6052970332011842	0.6625205592105263	0.7333523846736242	0.7514694558365768	0.6325379191417649
8.0	0.5965788740860788	0.6712924890350878	0.7405290591295403	0.7591219214739999	0.6424995230261077
9.0	0.5886201910805284	0.6778371710526315	0.7478494856210848	0.7683951299906379	0.6473659548311267
10.0	0.5835223427990026	0.6862321820175439	0.7557947353448693	0.7753700421388179	0.6589117260889485
11.0	0.5762486290513423	0.6918174342105263	0.7616212700611024	0.7814635764532418	0.6703258751754665
12.0	0.570614264722456	0.6946957236842105	0.7676554680309737	0.7875868555385154	0.6703653987932342
13.0	0.5621358846363268	0.6995956688596491	0.7756974726888465	0.7957042191078353	0.6784309915609074
14.0	0.5534877526132684	0.7072025767543859	0.7845140485255097	0.805025193921656	0.6868649468901559
15.0	0.5512270540521856	0.7097382127192983	0.7861763428666423	0.8051413065496391	0.6916362559617134
16.0	0.5422090657970362	0.7176535087719298	0.7949133149898435	0.814841538600163	0.6998199291859573
17.0	0.5346249268766035	0.723718475877193	0.8032776326314908	0.8225591063032117	0.7061597501492511
18.0	0.5271809242273632	0.7296806469298246	0.8087334938865294	0.8274765947132073	0.7132311097143899
19.0	0.5245326286868045	0.7304344846491229	0.8157059629362355	0.8336710211450469	0.7146017581748437
20.0	0.5153498116292452	0.7381099232456141	0.818625293772979	0.8366914738585577	0.722771579274424
21.0	0.5077593007631469	0.7418448464912281	0.8255277007118	0.843189413074981	0.7288575112370503
